epoch,train_loss,val_top1,val_top5,epoch_seconds
1,4.5198,0.1032,0.3306,2.8
2,3.3832,0.2206,0.5089,2.0
3,2.8417,0.2718,0.5636,2.0
4,2.4990,0.3247,0.6177,2.0
5,2.2531,0.3610,0.6518,2.0
6,2.0848,0.4018,0.6911,2.0
7,1.9547,0.3879,0.6824,2.2
8,1.8509,0.4012,0.6915,2.1
9,1.7787,0.4084,0.6984,2.1
10,1.7056,0.4263,0.7069,2.1
11,1.6439,0.4360,0.7144,2.0
12,1.5860,0.4342,0.7128,2.1
13,1.5386,0.4398,0.7212,2.1
14,1.5022,0.4402,0.7189,2.0
15,1.4618,0.4650,0.7353,2.0
16,1.4213,0.4328,0.7157,2.0
17,1.3850,0.4615,0.7262,2.1
18,1.3571,0.4618,0.7300,2.0
19,1.3259,0.4434,0.7204,2.0
20,1.3028,0.4547,0.7286,2.0
21,1.2779,0.4627,0.7289,2.0
22,1.2544,0.4603,0.7299,2.0
23,1.2310,0.4646,0.7341,2.0
24,1.2144,0.4693,0.7314,2.1
25,1.1890,0.4740,0.7436,2.0
26,1.1731,0.4646,0.7288,2.0
27,1.1560,0.4727,0.7352,2.0
28,1.1336,0.4685,0.7367,2.0
29,1.1195,0.4746,0.7361,2.0
30,1.1329,0.4737,0.7393,2.0
31,1.0964,0.4726,0.7332,2.0
32,1.0789,0.4820,0.7439,2.0
33,1.0665,0.4748,0.7409,2.0
34,1.0519,0.4782,0.7407,2.0
35,1.0388,0.4733,0.7341,2.0
36,1.0358,0.4738,0.7359,2.0
37,1.0169,0.4795,0.7429,2.0
38,1.0069,0.4883,0.7465,2.1
39,1.0057,0.4729,0.7359,2.0
40,0.9814,0.4774,0.7397,2.0
41,0.9765,0.4938,0.7458,2.0
42,0.9700,0.4808,0.7413,2.0
43,0.9572,0.4758,0.7400,2.0
44,0.9545,0.4921,0.7445,2.0
45,0.9416,0.4873,0.7446,2.0
46,0.9353,0.4704,0.7333,2.1
47,0.9633,0.4688,0.7333,2.0
48,0.9184,0.4823,0.7396,2.0
49,0.9053,0.4871,0.7409,2.0
50,0.9073,0.4831,0.7425,2.0
51,0.8913,0.4931,0.7492,2.0
